Country Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Congo, Dem. Rep.",247.5419356,277.6120796,317.8892101,290.1556751,324.8277261,376.3749811,412.7762605,444.8643576,472.2662357,482.0645686,456.0279506,451.0890885,546.2125932,575.8827814,524.6666862,576.9747294,653.6562231
"Congo, Rep.",2116.868943,2219.912307,2848.653163,2283.949872,2962.762481,3415.062374,3753.860928,3719.651036,3623.80746,2455.34791,2107.503024,2227.720139,2715.243105,2508.944783,2011.269479,2540.473212,2649.225022
Colombia,3782.603496,4762.083068,5534.689447,5245.951584,6392.758026,7392.9436,8096.80151,8263.641929,8167.472842,6228.651622,5936.261022,6449.970987,6782.03792,6436.509215,5304.289129,6182.707099,6624.165393
Comoros,1155.085675,1289.79485,1454.650909,1409.106673,1384.063284,1526.832638,1483.951559,1595.989819,1608.687875,1322.936775,1357.266229,1414.586689,1531.337811,1510.797323,1519.58678,1577.470841,1484.892465
Cabo Verde,2220.098175,3268.305696,3839.863636,3592.315879,3500.977468,3880.069205,3583.461725,3757.659953,3739.278279,3169.078901,3312.696745,3534.343575,3860.454808,3903.050317,3126.399859,3398.165376,3754.304794
Costa Rica,5188.361792,6055.086779,6841.91146,6737.860751,8147.243985,9137.455101,9971.651656,10633.26655,10737.67888,11529.95517,11899.81398,12118.13362,12383.14995,12669.34115,12179.25667,12604.04884,13365.3564
Caribbean small states,8193.45371,9053.713355,10223.19683,8592.666277,9271.400098,9967.736396,10464.82698,10560.26139,10730.90339,10484.86996,9805.586748,10101.69834,10378.90576,10405.80321,8846.494092,10174.38409,12639.70462
Cuba,4336.87333,4814.854876,4992.824494,5094.437562,5275.532601,6106.006792,6467.337914,6814.243844,7117.535735,7683.740254,8055.925868,8543.330067,8831.910409,9139.38051,9499.572504,,
Curacao,,,,,,19426.3264,19809.82232,19721.29218,19623.03007,19361.81296,18944.09628,18938.2441,19119.12449,19220.68658,16356.09333,17979.99829,20501.75228
Cayman Islands,87184.51214,89960.68373,89704.22361,81398.32263,76873.19428,75435.61422,75466.13655,75685.35737,76610.64846,77295.84529,78858.28026,81255.11246,85231.77425,89846.32122,83897.50544,88475.60047,99624.88544
Cyprus,26729.32422,31244.92578,35397.36328,32109.24219,31023.26758,32395.75391,28910.74609,27727.53516,27162.32227,23408.44141,24605.34961,26608.69531,29335.04688,29420,28281.42578,32745.84375,32048.24023
Czechia,15261.79759,18466.54793,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26822.51419,27226.61564
Germany,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46805.13843,46749.47623,51426.75037,48717.99114
Djibouti,907.8179438,980.0310324,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2921.738706,3062.551482,3136.112768
Dominica,5677.051175,6126.849496,6661.465047,7109.978253,7182.400203,7288.497948,7054.875977,7240.679119,7502.12091,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7668.158132,8351.193213
Denmark,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60836.59241,69268.6518,67790.05399
Dominican Republic,4080.045739,4676.079051,5053.330285,5002.15317,5509.568034,5859.381524,6049.471587,6171.295127,6533.670911,6838.936746,7191.069703,7513.497982,7947.159331,8173.344699,7167.914974,8476.749639,10111.24571
Algeria,3500.134594,3971.803488,4946.564017,3898.478788,4495.921476,5473.281826,5610.733282,5519.777576,5516.22944,4197.419985,3967.200647,4134.936087,4171.790388,4021.983266,3354.153164,3700.314697,4342.637968
East Asia & Pacific (excluding high income),1957.902518,2456.497244,3085.009824,3320.357065,4012.172398,4863.69578,5376.652825,5881.992431,6292.357183,6500.07275,6592.555408,7151.338608,7944.814368,8172.023756,8262.990946,9813.002261,9954.276857
Early-demographic dividend,2062.451644,2401.724807,2665.453435,2527.253484,3015.332652,3274.592048,3375.021425,3373.558109,3440.554275,3227.845551,3278.241801,3498.575677,3493.678564,3521.644206,3242.515083,3727.933835,4104.085948
East Asia & Pacific,5136.277377,5697.906607,6523.257863,6664.918385,7726.909712,8893.522785,9436.836164,9468.669123,9695.923458,9586.061906,9856.581539,10454.52433,11312.90436,11484.41727,11487.31134,13138.72467,12930.69168
Europe & Central Asia (excluding high income),5231.248434,6719.059342,8294.111109,6468.612409,7790.257411,9624.482205,10211.12023,10762.52806,9914.029044,7486.327414,7075.874655,7900.555316,8025.155608,8153.193434,7477.878431,8912.814076,10379.77294
Europe & Central Asia,20748.23554,24164.77255,26486.3676,23197.37733,23635.81009,26146.8901,25096.86442,26100.94614,26348.26949,22588.58857,22411.24208,23688.05766,25276.81944,24892.39355,24021.79603,27420.81343,27536.81293
Ecuador,3340.840903,3579.032244,4260.433184,4240.702593,4640.246344,5202.656459,5678.455721,6050.354611,6374.631486,6130.586676,6079.088736,6246.404252,6321.349401,6233.258167,5645.19929,5965.132871,6391.282484
"Egypt, Arab Rep.",1332.33941,1586.472921,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2439.967284,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496
Euro area,33794.82227,38715.44377,42353.18628,38578.92158,37604.83366,40656.7102,37593.19196,39119.1157,39914.4243,34390.34874,35162.22836,37159.40904,40048.45819,39185.13974,38193.95793,42807.33653,41036.23331
Eritrea,420.5287398,450.4097137,459.1784027,602.0632238,504.9724602,643.7900423,,,,,,,,,,,
Spain,28389.07858,32591.35031,35510.72223,32169.50285,30532.48051,31677.90031,28322.94659,29077.18206,29513.65118,25754.36103,26537.15949,28185.32137,30379.72111,29581.51855,26984.29628,30488.82095,29674.54429
Estonia,12639.40007,16744.58445,18204.96648,14711.73527,14663.04461,17487.80478,17403.20533,19056.00192,20261.06673,17402.03761,18295.34293,20437.76538,23165.84948,23424.48471,23595.24368,27943.70122,28247.09599
Ethiopia,191.7512925,240.347972,320.8610897,373.8939587,335.4384953,348.0013483,458.5509208,490.7924784,557.5341484,630.3126194,705.6175085,755.7526443,758.2976945,840.4496013,918.6525941,925.0006976,1027.585911
European Union,29089.71015,33587.35453,37044.03814,33480.55364,32965.58296,35767.08274,33169.1181,34564.58255,35282.0273,30487.15617,31174.03387,33090.6344,35751.57258,35079.5343,34356.57462,38721.07794,37433.27845
Fragile and conflict affected situations,1504.994518,1792.331014,2220.917223,2002.368231,2315.19272,2118.066951,2310.811136,2338.7183,2428.073361,1890.48128,1742.893121,1805.793771,1852.318463,1919.783251,1700.985671,1779.313291,1870.337198
Finland,41222.602,48476.39273,53772.79424,47481.48454,46505.30318,51148.93164,47708.06128,49892.22336,50327.24029,42801.90812,43814.02651,46412.13648,49987.62616,48629.85823,49169.71934,53504.69365,50871.93045
Fiji,3483.597185,3793.097385,3928.921739,3184.689123,3469.149643,4160.721193,4359.7924,4586.955211,5305.064432,5105.189612,5368.433492,5825.199665,6073.394579,5927.724208,4815.689148,4656.051341,5356.164396
France,36470.21284,41557.62356,45515.96175,41737.76355,40676.06479,43846.46608,40870.85236,42602.71797,43068.54872,36652.92231,37062.53357,38781.04949,41557.85486,40494.89829,39179.74426,43671.30841,40886.25327
Faroe Islands,41762.68985,48365.73506,51431.9731,47410.95563,48167.66751,51786.48099,50157.05879,55560.13303,60126.12564,52726.68738,56833.91654,59328.23766,62576.80164,63203.74478,62234.96868,69108.20658,66979.27732
"Micronesia, Fed. Sts.",2298.636458,2344.403462,2420.749006,2598.403604,2760.01134,2885.441249,3023.585446,2920.700863,2928.448782,2891.322103,3022.653627,3320.354976,3623.329337,3734.994927,3639.412699,3588.759933,3713.955362
Gabon,6873.453983,8036.919956,9732.226533,7325.909513,8399.597348,10273.79844,9348.514876,9250.081115,9255.368035,7090.454634,6722.198223,6975.695192,7694.906051,7523.862281,6680.082665,8635.797144,8820.347337
United Kingdom,44512.45903,50397.6855,47396.12021,38744.13169,39598.95712,42109.64188,42497.3405,43426.29814,47439.61659,44964.39114,40985.23514,40572.12148,43203.81411,42662.53537,40217.00901,46869.75906,46125.25575
Georgia,1996.020133,2635.366503,3324.753721,2822.689397,3233.219752,4021.75523,4421.930712,4623.884714,4739.276913,4014.111651,4062.126978,4356.928016,4722.042423,4696.150586,4255.742993,5023.274384,6674.95696
Ghana,904.1695278,1047.199428,1178.955877,1044.004989,1258.964197,1501.059171,1536.619635,2282.407501,1942.921869,1711.271317,1900.397674,1998.722666,2180.029684,2167.92544,2176.576218,2422.085913,2203.558935
Gibraltar,,,,,,,,,,,,,,,,,
Guinea,452.2761597,657.9934738,712.0994161,670.2612536,667.2816019,644.5025487,707.9676782,757.6922726,774.5690396,756.4255898,720.4732552,843.4642792,944.4172687,1043.899886,1073.659339,1189.175999,1515.167948
"Gambia, The",615.9739283,725.0922849,857.8582399,772.1249338,796.6318292,705.4774953,686.5575577,647.3855346,561.6496346,611.6712191,640.6762653,632.0010242,683.3246328,722.8753563,704.0304628,772.1514505,808.2782815
Guinea-Bissau,418.902079,480.4386022,583.2683059,543.5624692,542.2841012,683.534476,598.5726262,616.1599287,605.1225465,585.9570126,642.6663901,718.2457378,781.6443676,730.6114323,710.258133,795.118605,775.8289657
Equatorial Guinea,11140.19017,13776.90333,19849.71777,14398.77049,14905.51458,18659.41602,18756.42503,17644.5943,16804.92493,9788.983804,8035.307666,8410.39798,8719.18687,7317.390024,6198.942524,7406.084975,7182.265382
Greece,24821.93675,28863.97329,32127.98319,29828.75602,26716.64883,25483.88256,21912.99829,21787.78776,21616.71001,18083.87791,17923.96681,18582.08934,19756.99046,19143.88762,17617.29151,20310.68248,20867.26909
Grenada,6295.281172,6790.63408,7343.44527,6810.440318,6760.974884,6775.749278,6900.765076,7205.254765,7726.378262,8379.621847,8849.513535,9309.261296,9574.310271,9887.920742,8437.536782,9010.5128,9689.0827
Greenland,35458.2543,39780.94414,44366.78587,44918.84138,43988.52803,47186.876,45936.95628,47535.48838,50485.22441,44536.35497,48181.74535,50765.74947,54545.13586,53309.20359,54693.07668,57116.29577,
Guatemala,2251.078784,2490.747828,2802.451582,2651.831744,2852.557593,3228.038278,3355.034777,3522.767429,3779.626205,3994.629085,4173.281349,4454.024509,4485.752135,4647.807541,4609.897258,5029.477555,5473.208564
Guam,25735.5397,26686.81682,28277.43208,29335.27768,30011.21858,30087.71559,31642.14626,32318.8909,33483.94144,34522.37793,35052.80791,35663.02504,35902.7259,37752.63308,34780.86166,35904.86355,
Guyana,3138.082209,3609.908509,4011.386904,4213.816229,4589.872498,4960.004726,5461.390085,5576.250215,5495.377084,5668.429765,5905.380196,6220.978568,6094.909837,6477.296726,6863.074346,9994.645704,18199.47484
High income,34885.34924,37889.29521,40039.58923,37223.1862,38768.18771,41688.73484,41480.86415,41752.36192,42412.12972,39811.48018,40428.17938,42077.843,44528.16874,44725.99509,43457.69824,48535.46582,49607.24655
"Hong Kong SAR, China",28224.09516,30593.95117,31515.52921,30697.53839,32550.13649,35142.48793,36730.7962,38403.77771,40315.37395,42432.16197,43734.19807,46160.42979,48537.56689,48359.0012,46109.22999,49764.79312,48983.62172
Honduras,1409.579748,1559.886044,1713.418164,1762.34916,1874.271704,2053.959695,2107.345428,2064.550536,2164.42455,2257.225284,2295.53627,2403.306088,2457.686042,2519.366185,2354.121434,2771.722654,3040.173046
Heavily indebted poor countries (HIPC),584.786538,681.8547199,788.8859594,776.7430431,833.650589,908.5080264,914.7282964,988.6051407,1021.156448,963.3180678,981.8316422,1055.404207,977.2375305,985.1304866,968.4658813,1047.075198,1109.014261
Croatia,11505.39984,13762.45626,15898.7999,14421.17148,13693.50003,14655.87439,13439.66456,13979.18556,14001.16034,12098.51203,12579.9227,13592.25452,15040.03692,15120.9029,14269.90885,17809.03239,18570.404
Haiti,824.3580519,979.5996409,1089.576355,1191.802935,1204.862055,1306.845319,1356.172777,1452.313548,1454.649175,1405.714786,1313.186095,1389.358623,1489.578406,1345.475055,1283.141228,1823.742224,1748.257132
Hungary,11489.56087,13940.90928,15772.33008,13077.30547,13217.5046,14234.47158,12984.83657,13715.07036,14294.25842,12717.0386,13104.69955,14621.2396,16425.20503,16786.21364,16125.60941,18753.04695,18390.185
IBRD only,2692.21142,3309.984573,3930.831825,3772.612352,4541.138234,5320.923001,5596.079933,5839.26074,5971.514742,5536.382163,5523.361421,6043.460397,6373.970462,6460.501165,6177.526395,7284.449127,7682.790889
IDA & IBRD total,2268.253908,2766.525215,3273.575645,3137.027148,3747.609751,4325.484605,4533.253828,4727.351759,4836.871657,4486.333989,4463.080644,4847.680982,5084.854052,5140.641855,4901.569304,5718.690003,6007.370761
IDA total,868.6043181,995.7924382,1159.634162,1119.202366,1262.434938,1248.549361,1286.776555,1367.051475,1443.622873,1379.210602,1362.461982,1395.049931,1412.711942,1434.100097,1373.087617,1461.411109,1534.023093
IDA blend,1150.615977,1303.57146,1492.799641,1357.036969,1553.523173,1734.112395,1885.398591,2008.21296,2135.840663,1987.567534,1820.08119,1753.270831,1877.776724,1876.654806,1722.41777,1844.32001,1933.556473
Indonesia,1572.79794,1840.329927,2144.389544,2239.095265,3094.443079,3613.800888,3668.212083,3602.885517,3476.624854,3322.581679,3558.818852,3839.785075,3902.661676,4151.227554,3895.618152,4334.215983,4787.999308
IDA only,727.5069907,841.9637818,993.2246814,1000.545387,1116.706559,1003.969986,984.9982971,1043.980982,1095.156168,1073.597435,1133.380809,1216.338371,1181.353141,1214.582592,1200.249071,1272.350348,1337.013175
Isle of Man,42662.60285,55072.17799,72304.9475,66175.22758,70625.16854,77838.39693,79326.383,83204.74717,91881.12836,84753.45673,82041.62105,83510.30375,89425.89139,87152.45302,79530.60548,,
India,802.013742,1022.732467,993.5034053,1096.636136,1350.63447,1449.603301,1434.017987,1438.057005,1559.863779,1590.174331,1714.279537,1957.969813,1974.377731,2050.1638,1913.219733,2238.127142,2410.888021
Not classified,,,,,,,,,,,,,,,,,
Ireland,54329.16186,61396.41746,61353.10656,52133.09062,48663.60044,52219.70573,48943.82065,51496.96169,55752.76498,62179.26427,62784.06569,70150.73702,79446.93911,80848.3019,85973.08849,102001.7982,103983.2913
"Iran, Islamic Rep.",3736.177793,4838.003556,5623.911681,5602.556282,6458.573956,8201.581678,8329.002067,6280.681867,5757.543333,4990.936795,5497.243233,5758.590728,3850.751253,3276.753265,2746.419483,4084.200305,4669.57138
Iraq,2253.547113,3099.59197,4504.508094,3686.402133,4430.426242,5736.898959,6437.503076,6612.902252,6215.986033,4416.942924,4305.202702,4725.193573,5601.467061,5621.181695,4251.337253,4770.835343,5937.195466
Iceland,57492.93425,69495.72674,56943.37045,41301.27322,43237.07295,47714.59223,45995.54788,49804.983,54576.74481,52951.68151,61987.92636,72010.14903,74452.18907,68452.23622,58848.41812,68710.2442,73466.77867
Israel,22494.64209,25633.64322,30173.36159,28317.04084,31266.60532,34354.71612,33156.22832,36941.84236,38259.6811,36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,44846.7916,52129.51596,54930.93881
Italy,33529.7266,37870.74751,40944.91242,37226.75719,36035.645,38649.63948,35051.52127,35560.08141,35565.72138,30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31922.91916,36449.25834,34776.42323
Jamaica,4435.571444,4738.449778,5056.258036,4452.120799,4835.791087,5259.931753,5365.242172,5143.722183,4991.561532,5077.550984,5022.700192,5273.149027,5594.493573,5626.170473,4897.26475,5183.581018,6047.216457
Jordan,2478.291944,2643.168439,3416.123901,3618.892617,3914.701231,4152.493981,4386.461819,4477.618321,4255.894302,4064.25301,4003.404746,4073.116403,4146.407311,4159.653754,3998.673138,4152.757954,4311.000046
Japan,35991.546,35779.02454,39876.30397,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40040.76551,40058.53733,34017.27181
Kazakhstan,5291.574004,6771.41662,8458.019475,7165.224778,9070.488253,11633.99858,12386.69927,13890.63397,12807.26305,10510.77032,7714.841844,9247.580679,9812.625431,9812.595526,9121.636409,10373.78979,11492.03194
Kenya,699.3997383,840.1916319,915.9989157,1049.121794,1093.639624,1099.315465,1289.780791,1376.829205,1489.919721,1496.653573,1562.076619,1675.988422,1845.783414,1970.08007,1936.250755,2069.661129,2099.301938
Kyrgyz Republic,543.1107024,721.7695225,966.3938386,871.2242269,880.0385218,1123.883144,1177.975261,1282.438248,1279.770784,1121.082696,1120.667058,1242.77022,1308.139785,1451.515638,1256.929226,1365.508304,1655.072698
Cambodia,539.7473654,629.9210766,742.3979723,734.8151187,782.6957386,880.3103044,950.4825446,1015.220881,1098.074538,1170.742816,1281.105971,1400.899265,1533.315985,1671.3854,1577.91174,1625.235021,1759.608023
Kiribati,1101.4576,1300.759342,1356.647491,1249.302232,1438.081413,1644.407553,1698.919124,1628.642594,1546.881768,1459.143983,1506.231003,1566.447136,1607.229825,1410.014643,1403.993853,1766.144289,1701.970665
St. Kitts and Nevis,13747.80934,14660.96321,16491.88509,16374.25689,16427.62101,17571.98446,17293.80605,18315.91468,19945.31517,20025.65235,21079.52097,22148.51243,22533.88205,23204.97056,18553.65714,18035.38614,20262.26714
"Korea, Rep.",21743.47745,24086.41044,21350.42798,19143.85161,23079.26013,25097.59543,25459.1689,27179.51701,29252.93124,28737.43917,29280.44032,31600.73587,33447.15628,31902.4169,31721.29891,35142.26427,32422.57449
Kuwait,42970.69645,45729.79934,55595.48431,37906.20519,39212.57941,49010.3105,51271.06776,47762.7967,43239.83518,29315.19851,27026.68766,29258.26633,32012.18752,30666.23713,24297.7108,32324.8409,41079.5227
Latin America & Caribbean (excluding high income),5694.990405,6646.140745,7594.321173,6964.380097,8616.309422,9945.024681,9792.188957,9937.196527,9870.617654,8301.026794,7972.032188,8788.350268,8446.592322,8246.516673,6889.469861,7873.980782,8971.780372
Lao PDR,581.0102436,699.0413761,887.6397349,936.7903214,1127.835236,1363.72529,1566.009745,1815.440238,1984.50867,2125.459057,2309.049076,2439.463355,2553.361866,2598.505523,2593.355097,2535.623434,2054.430781
