Country Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nicaragua,5.37,5.31,4.89,6.2,8.16,7.83,6.615,5.21,5.28,4.52,4.7,3.9,3.3,5.2,5.492,6.276,6.273,4.99
Netherlands,5.87,5,4.15,3.65,4.35,4.99,4.98,5.82,7.24,7.42,6.87,6.01,4.84,3.83,3.38,3.82,4.21,3.52
Norway,4.38,3.4,2.49,2.55,3.1,3.52,3.21,3.12,3.42,3.48,4.3,4.68,4.16,3.8,3.69,4.42,4.37,3.23
Nepal,10.675,10.675,10.676,10.67,10.666,10.661,10.665,10.664,10.666,10.661,10.662,10.667,10.66,10.652,10.64,13.119,12.581,10.923
Nauru,,,,,,,,,,,,,,,,,,
New Zealand,3.81,3.86,3.66,4.17,6.12,6.56,6.49,6.93,5.84,5.43,5.42,5.15,4.74,4.34,4.11,4.6,3.78,3.3
OECD members,6.821251626,6.274572513,5.823537404,6.146446071,8.296974336,8.447913741,8.057126401,8.037600946,7.926729089,7.399037111,6.848033895,6.429938518,5.899365823,5.461089953,5.383051828,7.137491808,6.199966966,4.985310899
Oman,4.597,4.371,4.286,4.14,3.993,3.924,3.917,3.724,3.522,3.436,3.393,3.27,2.526,1.8,2.051,2.94,1.9,1.531
Other small states,11.40357341,10.7248504,10.18294343,9.856849043,10.57092155,10.79203924,10.40774075,10.11466518,10.31377091,10.018095,9.871760255,9.81304374,9.438447116,9.032514373,8.912655447,9.935155678,10.00293516,9.446797476
Pakistan,0.58,0.58,0.4,0.42,0.54,0.65,0.8,3.67,2.95,1.83,3.57,2.29,3.187,4.08,4.83,6.215,6.34,5.595
Panama,6.053,5.857,5.748,5.707,5.851,5.875,4.05,3.717,3.703,4.419,4.368,4.759,5.392,5.218,6.33,14.183,10.451,8.202
Peru,4.87,4.17,4.08,4.03,3.96,3.6,3.48,3.24,3.57,3.21,3.27,3.74,3.69,3.49,3.38,7.18,5.1,3.85
Philippines,3.8,4.05,3.43,3.72,3.86,3.61,3.59,3.5,3.5,3.6,3.07,2.7,2.55,2.34,2.24,2.52,3.4,2.375
Palau,,,,,,,,,,,,,,,,,,
Papua New Guinea,2.391,2.291,2.178,2.167,2.087,2,2.62,2.639,2.703,2.57,2.548,2.529,2.628,2.698,2.707,3.067,3.24,2.779
Poland,17.75,13.84,9.6,7.12,8.17,9.64,9.63,10.09,10.33,8.99,7.5,6.16,4.89,3.85,3.28,3.16,3.36,2.89
Pre-demographic dividend,5.094213582,5.082502746,5.038428194,5.033166512,5.097765603,5.304107785,5.370514789,5.285811098,5.136798244,5.106775828,5.185311134,5.304969594,5.614721647,5.625917573,5.687380081,6.279525143,6.186062508,5.50635107
Puerto Rico,11.35,11.01,10.93,11.48,15,16.1,15.7,14.5,14.3,13.9,12,11.8,10.8,9.2,8.3,8.89,7.9,6
"Korea, Dem. People's Rep.",3.049,3.018,3.005,2.934,2.921,2.852,2.929,2.951,2.96,2.913,2.932,2.955,2.875,2.822,2.807,3.116,3.23,3.072
Portugal,7.58,7.65,7.97,7.55,9.43,10.77,12.68,15.53,16.19,13.9,12.45,11.07,8.87,6.99,6.46,6.8,6.58,6.01
Paraguay,4.82,5.28,4.71,4.42,5.46,4.57,4.67,4.09,4.38,5.03,4.56,5.25,6.14,6.22,6.59,7.55,7.31,6.75
West Bank and Gaza,20.02,19.01,18.28,22.91,20.45,21.42,17.6,19.2,19.89,20.53,23,23.94,25.68,26.26,25.34,25.89,26.39,24.42
Pacific island small states,3.809490027,3.777771254,3.739275256,3.653454839,3.598294504,3.511998483,3.461663075,3.575398832,3.470313859,3.457421364,3.455871498,3.46206235,3.479238926,3.485624515,3.508458349,3.577077768,3.702551048,3.890483345
Post-demographic dividend,6.376082312,5.963420092,5.547246219,5.884469638,8.039077644,8.314615024,8.025083007,8.081868818,7.964092889,7.441416385,6.868548747,6.404636542,5.83754405,5.289277382,4.939528213,6.706529088,5.796063011,4.511295341
French Polynesia,11.632,11.74,11.74,11.878,11.933,12.105,12.17,12.133,11.954,11.734,11.542,11.441,11.402,11.417,11.443,12.829,12.363,11.797
Qatar,0.87,0.87,0.52,0.31,0.31,0.45,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.14,0.14,0.13
Romania,7.17,7.27,6.41,5.79,6.86,6.96,7.18,6.79,7.1,6.8,6.81,5.9,4.93,4.19,3.91,5.03,5.59,5.61
Russian Federation,7.12,7.06,6,6.21,8.3,7.37,6.54,5.44,5.46,5.16,5.57,5.56,5.21,4.85,4.5,5.59,4.72,3.867
Rwanda,11.928,11.65,11.639,11.567,11.676,11.682,11.801,11.703,11.8,11.866,11.853,11.799,11.88,10.76,11.24,11.83,15.79,15.08
South Asia,7.4979084,7.356724817,7.313269105,7.290597935,7.285487148,7.056505099,7.019119928,7.266272065,7.167146668,6.988910051,7.107640343,6.922155892,6.957783191,6.990164112,6.200331849,7.50344402,6.393256724,5.050291067
Saudi Arabia,6.05,6.25,5.73,5.09,5.38,5.55,5.77,5.62,5.6,5.88,5.6,5.6,5.89,6.03,5.64,7.45,6.62,5.59
Sudan,14.786,14.773,14.75,14.8,13,15.117,17.44,17.971,18.044,17.745,17.055,17.001,17.141,17.306,17.514,19.208,19.188,17.585
Senegal,8.659,10.03,10.184,10.237,10.201,10.153,10.36,9.471,8.764,7.653,6.76,4.46,4.08,3.57,2.86,3.339,3.321,3.012
Singapore,5.59,4.48,3.9,3.96,5.86,4.12,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.606,3.1,4.1,4.64,3.59
Solomon Islands,1.897,1.929,1.982,2,2.02,1.626,1.299,0.987,0.69,0.721,0.726,0.725,0.717,0.713,0.733,0.891,0.937,1.609
Sierra Leone,3.786,3.981,4.097,4.219,4.366,4.538,4.66,4.62,4.532,4.68,4.742,4.458,3.953,3.19,3.199,3.565,3.663,3.269
El Salvador,7.22,6.57,6.41,5.88,7.33,4.89,4.3,3.84,3.69,4.15,4,4.42,4.39,4.01,4.17,5.01,4.33,3
San Marino,,,,,,,,,,,,,,,,,,
Somalia,18.509,18.568,18.52,18.568,18.593,18.627,18.661,18.872,18.92,18.887,18.387,18.293,18.497,18.781,18.83,19.587,19.936,19.291
Serbia,20.85,20.85,18.06,13.67,16.12,19.2,22.96,24,22.15,19.22,17.66,15.26,13.48,12.73,10.39,9.01,10.06,8.684
Sub-Saharan Africa (excluding high income),5.914135684,5.823073121,5.779927574,5.781376353,5.872518043,6.11789646,6.03453198,5.920532685,5.748380306,5.784343056,5.949869433,6.044499679,6.152680474,6.139888557,6.264349664,6.738892981,6.933668636,6.293733182
South Sudan,12.145,12.133,12.112,12.15,12.38,12.422,12.6,12.98,12.731,12.564,12.411,13.128,13.404,13.17,12.781,14.413,14.295,12.442
Sub-Saharan Africa,5.914135684,5.823073121,5.779927574,5.781376353,5.872518043,6.11789646,6.03453198,5.920532685,5.748380306,5.784343056,5.949869433,6.044499679,6.152680474,6.139888557,6.264349664,6.738892981,6.933668636,6.293733182
Small states,10.30389142,9.665323966,9.22754026,8.964375221,9.717815982,9.86681686,9.616289638,9.486108203,9.708870917,9.411412691,9.251919037,9.234970572,8.827795895,8.38964878,8.236355053,9.30968265,9.308139104,8.716089633
Sao Tome and Principe,16.47,16.65,16.078,15.545,15.507,14.674,14.232,13.59,13.747,13.604,13.562,13.624,13.838,13.922,14.083,15.373,15.413,14.354
Suriname,9.264,9.097,9.005,8.832,8.72,7.15,7.54,8.1,6.6,6.94,7.22,7.92,7.885,7.687,7.547,8.739,8.53,8.226
Slovak Republic,16.28,13.39,11.16,9.51,12.02,14.39,13.63,13.97,14.23,11.54,11.49,9.68,8.14,6.54,5.76,6.72,6.89,6.14
Slovenia,6.55,5.99,4.87,4.41,5.89,7.26,8.2,8.88,10.14,9.72,9,8.02,6.57,5.13,4.45,4.99,4.74,4.01
Sweden,7.49,7.07,6.16,6.23,8.35,8.61,7.8,7.98,8.05,7.95,7.43,6.99,6.72,6.36,6.83,8.29,8.72,7.39
Eswatini,27.246,27.698,28.24,27.919,27.533,26.869,26.061,25.099,24.393,23.774,23.263,22.72,22.65,22.637,22.535,24.769,24.372,22.643
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,8.82,8.17,8.42,10.94,8.14,8.61,8.611,13.8,14.419,14.683,14.246,13.856,13.672,13.562,13.409,15.279,15.084,13.809
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,
Chad,0.63,0.671,0.796,0.885,0.878,0.836,0.864,0.852,0.908,0.883,0.931,1.022,1.111,1.13,1.057,1.684,1.591,1.1
East Asia & Pacific (IDA & IBRD countries),4.496210711,4.389471835,4.369013499,4.45482976,4.440526262,4.175989748,4.125541639,4.064228764,4.065691959,4.062430875,4.137486421,4.054017981,3.931582811,3.824602974,3.912109537,4.39131577,4.1408526,4.253777771
Europe & Central Asia (IDA & IBRD countries),9.366396912,8.560333711,7.467335347,7.202519384,8.832662586,8.438366579,7.905694906,7.436926667,7.500925821,7.567356825,7.535755741,7.370061419,7.017381993,6.574346904,6.621040681,7.122652226,6.748470011,5.597055882
Togo,4.131,4.23,3.834,3.27,2.841,2.368,1.98,2.023,2.077,2.136,2.2,2.957,3.74,3.759,3.765,4.172,4.398,3.846
Thailand,1.35,1.22,1.18,1.18,1.49,0.62,0.66,0.58,0.25,0.58,0.6,0.69,0.83,0.77,0.72,1.1,1.21,0.94
Tajikistan,12.994,12.626,12.253,11.869,11.5,10.844,10.186,9.517,8.859,8.205,7.554,6.9,6.898,6.895,6.894,7.304,7.469,7.001
Turkmenistan,7.454,6.571,5.7,4.844,4,4,4.001,3.994,3.995,4.005,4.016,4.026,4.036,4.04,4.043,4.551,4.529,4.126
Latin America & the Caribbean (IDA & IBRD countries),8.337167658,7.699840772,7.308040204,6.912808279,7.889450351,7.25252689,6.725872817,6.434122018,6.388481062,6.204174739,6.732944205,7.831662552,8.140187846,8.044810389,8.124764453,10.36727169,9.334102805,7.002036844
Timor-Leste,3.439,3.449,3.402,3.362,3.296,3.3,3.532,3.767,4.01,4.228,4.451,4.66,4.191,3.69,3.079,2.791,2.34,1.786
Middle East & North Africa (IDA & IBRD countries),11.70315471,10.95422157,10.48969732,10.24906925,10.41995482,10.68105138,11.44163923,11.9535903,11.68666587,11.82322917,12.25708201,12.39632091,12.6262508,12.15804988,11.38576204,12.027818,11.73701675,10.85760255
Tonga,2.562,1.09,1.183,1.258,1.409,1.515,1.605,1.651,1.761,1.922,2.025,2.051,2.136,2.25,2.136,2.733,2.11,2.429
South Asia (IDA & IBRD),7.4979084,7.356724817,7.313269105,7.290597935,7.285487148,7.056505099,7.019119928,7.266272065,7.167146668,6.988910051,7.107640343,6.922155892,6.957783191,6.990164112,6.200331849,7.50344402,6.393256724,5.050291067
Sub-Saharan Africa (IDA & IBRD countries),5.914135684,5.823073121,5.779927574,5.781376353,5.872518043,6.11789646,6.03453198,5.920532685,5.748380306,5.784343056,5.949869433,6.044499679,6.152680474,6.139888557,6.264349664,6.738892981,6.933668636,6.293733182
Trinidad and Tobago,7.95,6.27,5.54,4.63,5.28,4.03,3.43,3.72,2.68,2.48,2.43,3.21,3.388,3.49,3.52,4.21,4.45,3.812
Tunisia,12.87,12.51,12.36,12.44,13.29,13.05,18.33,17.63,15.93,14.26,15.16,15.56,15.33,15.46,17.15,18.629,18.524,17.759
Turkiye,10.63,8.72,8.87,9.71,12.55,10.66,8.8,8.15,8.73,9.88,10.24,10.84,10.82,10.89,13.67,13.11,11.98,10.43
Tuvalu,,,,,,,,,,,,,,,,,,
Tanzania,3.177,3.3,3.02,2.778,2.5,3.047,3.47,3.232,2.93,2.12,2.129,2.189,2.251,2.34,2.445,2.78,2.866,2.603
Uganda,1.9,2.252,2.65,3.007,3.6,3.632,3.512,3.55,1.91,2.429,2.793,3.149,3.64,3.382,3.109,3.812,3.42,2.938
Ukraine,7.18,6.81,6.35,6.36,8.84,8.1,7.85,7.53,7.17,9.27,9.14,9.35,9.5,8.8,8.19,9.48,9.83,
Upper middle income,6.041778458,5.805024096,5.668963969,5.68379118,6.058167338,5.728316856,5.514361648,5.362402781,5.370592994,5.351875277,5.567106407,5.765201466,5.730398851,5.648745284,5.785242748,6.499063302,6.07804353,5.721769509
Uruguay,12.01,10.84,9.4,8.03,7.74,7.16,6.31,6.45,6.44,6.55,7.49,7.84,7.89,8.34,8.73,10.33,9.29,7.87
United States,5.08,4.62,4.62,5.78,9.25,9.63,8.95,8.07,7.37,6.17,5.28,4.87,4.36,3.9,3.67,8.05,5.35,3.65
Uzbekistan,7.069,6.024,4.99,4.89,5.04,5.36,4.96,4.87,4.86,5.09,5.15,5.16,5.83,5.379,4.92,5.29,5.419,4.507
St. Vincent and the Grenadines,19.452,19.153,18.929,18.79,19.368,19.93,20.005,19.819,19.323,19.203,19.093,18.979,18.946,18.931,19.194,20.678,20.455,19.554
"Venezuela, RB",10.66,8.61,7.28,6.25,6.1,7.11,6.9,6.6,7.54,6.798,6.085,5.32,5.05,5.512,5.923,7.53,7.133,5.62
British Virgin Islands,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),10.553,10.034,9.814,9.899,11.196,11.417,11.713,11.798,12.254,12.364,12.17,12.284,12.005,12.207,12.332,14.687,14.125,12.856
Viet Nam,2.075,2.045,2.03,1.893,1.74,1.11,1,1.03,1.32,1.26,1.85,1.85,1.87,1.16,1.68,2.1,2.38,1.54
Vanuatu,8.129,8.01,6.853,5.66,4.56,4.676,4.808,4.935,5.041,5.134,5.239,5.251,5.282,5.324,5.44,4.05,4.789,5.219
World,6.37390127,6.102762819,5.89699745,5.931742989,6.508866786,6.384542493,6.239522284,6.225651015,6.16362885,6.022234262,6.055028359,6.021302182,5.929759775,5.768691509,5.591541614,6.603278524,6.064104831,5.267477115
Samoa,5.217,5.323,5.424,5.533,5.638,5.62,5.68,8.75,8.768,8.72,8.903,9.07,9.4,9.503,9.584,10.374,10.619,10.036
Kosovo,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",12.223,12.355,12.49,12.651,12.76,12.793,13.265,13.425,13.619,13.47,17.9,18.341,18.504,17.65,17.35,18.34,18.647,17.613
South Africa,19.608,19.401,19.342,19.51,20.51,23.18,21.42,21.79,22.04,22.61,22.87,24.02,23.99,24.22,25.54,24.34,28.77,28.84
Zambia,15.9,13.225,10.552,7.93,10.589,13.19,10.554,7.85,8.063,8.137,8.34,8.431,8.52,5.03,5.54,6.03,5.2,4.374
Zimbabwe,4.665,4.802,5.073,5.543,5.617,5.542,5.37,5.02,4.932,4.77,5.412,5.918,6.349,6.767,7.37,8.651,9.54,9.256
