Country Name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cote d'Ivoire,6.193,6.103,6.388,6.435,6.601,6.558,7.199,7.22,4.25,3.206,2.537,1.9,3.27,2.831,2.4,2.636,2.713,2.489
Cameroon,4.4,3.727,3.06,3.373,3.735,4.11,3.996,3.84,3.687,3.53,3.507,3.522,3.583,3.632,3.665,3.994,4.145,3.779
"Congo, Dem. Rep.",2.95,3.179,3.412,3.638,3.906,4.122,4.34,4.49,4.469,4.427,4.435,4.556,4.675,4.703,4.67,5.489,5.508,4.685
"Congo, Rep.",19.8,19.516,19.928,19.995,19.851,19.199,19.368,19.444,19.883,19.709,20.275,20.715,21.212,21.275,20.808,22.667,22.622,20.477
Colombia,11.06,11.089,11.2,11.27,12.07,11.15,10.29,9.96,9.25,8.8,8.57,8.92,9.09,9.36,10.28,15.98,13.9,10.55
Comoros,4.583,4.595,4.662,4.655,4.666,4.599,4.624,4.657,4.665,4.764,4.865,4.937,4.91,4.857,4.944,5.776,5.86,5.745
Cabo Verde,13.481,13.376,13.24,13.252,13.52,10.67,10.967,11.145,11.395,11.715,11.954,12.087,12.24,12.17,12.147,14.588,14.091,12.44
Costa Rica,6.75,5.93,4.56,4.93,7.82,7.17,9.52,9.11,8.22,8.5,8.42,8.09,7.73,9.01,10.81,16.43,15.14,11.32
Caribbean small states,8.563909275,7.815705503,7.525540602,7.351127084,8.390323663,8.306735595,8.481122023,8.848155881,9.195999216,8.761328685,8.465554889,8.552682244,7.868058294,7.157820226,6.800866601,8.350405432,8.04841798,7.067192476
Cuba,1.95,1.91,1.79,1.58,1.67,2.5,3.18,3.46,3.29,2.7,2.4,2,1.7,1.7,1.2,1.4,1.388,1.254
Curacao,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,
Cyprus,5.48,4.59,3.95,3.76,5.59,6.36,7.94,12.1,16.13,16.28,15.03,13.01,11.16,8.5,7.15,7.76,7.51,6.78
